Coll. No.,Family,Scientific Name,Common Name,Locality and habitat description,Habit,GPSN,GPSE,Altitude,Date,Collector,Identifier,Note
5068,Liliaceae,Lilium longiflorum var. longiforum,,"台東縣 (Taitung county), 蘭嶼鄉 (Lanyu township), 氣象站 (Weather station)",flowering,,,,31 Mar. 2020,"趙建棣 (C. T. Chao) accompanied with 江暐凡 (W. F. Chiang), 黃俊曄 (C. Y. Huang), 周柏安 (P. A. Chou)",,
5069,Apocynaceae,Alyxia monticola C.B. Rob.,蘭嶼念珠藤,"台東縣 (Taitung county), 蘭嶼鄉 (Lanyu township), 天池 (Tienchih, a pond)",flowering,,,,31 Mar. 2020,"趙建棣 (C. T. Chao) accompanied with 江暐凡 (W. F. Chiang), 黃俊曄 (C. Y. Huang), 周柏安 (P. A. Chou)",,
5070,Myrtaceae,Syzygium tripinnatum Merr.,大花赤楠,"台東縣 (Taitung county), 蘭嶼鄉 (Lanyu township), 天池 (Tienchih, a pond)",flowering,,,,31 Mar. 2020,"趙建棣 (C. T. Chao) accompanied with 江暐凡 (W. F. Chiang), 黃俊曄 (C. Y. Huang), 周柏安 (P. A. Chou)",,
5071,Rubiaceae,Lasianthus fordii Hance,琉球雞屎樹,"台東縣 (Taitung county), 蘭嶼鄉 (Lanyu township), 天池 (Tienchih, a pond)",flowering,,,,31 Mar. 2020,"趙建棣 (C. T. Chao) accompanied with 江暐凡 (W. F. Chiang), 黃俊曄 (C. Y. Huang), 周柏安 (P. A. Chou)",,
5072,Rubiaceae,Gardenia jasminoides J.Ellis,山黃梔,"台東縣 (Taitung county), 蘭嶼鄉 (Lanyu township), 天池 (Tienchih, a pond)",flowering,,,,31 Mar. 2020,"趙建棣 (C. T. Chao) accompanied with 江暐凡 (W. F. Chiang), 黃俊曄 (C. Y. Huang), 周柏安 (P. A. Chou)",,
5073,Lauraceae,Cinnamomum tenuifolium fo. nervosum (Meisn.) H.Hara,天竺桂,"台東縣 (Taitung county), 蘭嶼鄉 (Lanyu township), 天池 (Tienchih, a pond)",fruiting,,,,31 Mar. 2020,"趙建棣 (C. T. Chao) accompanied with 江暐凡 (W. F. Chiang), 黃俊曄 (C. Y. Huang), 周柏安 (P. A. Chou)",,
5074,Elaeocarpaceae,Elaeocarpus japonicus Siebold & Zucc.,薯豆,"台東縣 (Taitung county), 蘭嶼鄉 (Lanyu township), 天池 (Tienchih, a pond)",flowering,,,,31 Mar. 2020,"趙建棣 (C. T. Chao) accompanied with 江暐凡 (W. F. Chiang), 黃俊曄 (C. Y. Huang), 周柏安 (P. A. Chou)",,
5075,Stachuraceae,Turpinia ovalifolia Elmer,羽葉山香圓,"台東縣 (Taitung county), 蘭嶼鄉 (Lanyu township), 天池 (Tienchih, a pond)",fruiting,,,,31 Mar. 2020,"趙建棣 (C. T. Chao) accompanied with 江暐凡 (W. F. Chiang), 黃俊曄 (C. Y. Huang), 周柏安 (P. A. Chou)",,
5076,Elaeocarpaceae,Elaeocarpus multiflorus (Turcz.) Fern.-Vill.,繁花薯豆,"台東縣 (Taitung county), 蘭嶼鄉 (Lanyu township), 天池 (Tienchih, a pond)",flowering,,,,31 Mar. 2020,"趙建棣 (C. T. Chao) accompanied with 江暐凡 (W. F. Chiang), 黃俊曄 (C. Y. Huang), 周柏安 (P. A. Chou)",,
5077,Buxaceae,Buxus liukiuensis Makino,琉球黃楊,"台東縣 (Taitung county), 蘭嶼鄉 (Lanyu township), 天池 (Tienchih, a pond)",fruiting,,,,31 Mar. 2020,"趙建棣 (C. T. Chao) accompanied with 江暐凡 (W. F. Chiang), 黃俊曄 (C. Y. Huang), 周柏安 (P. A. Chou)",,
5078,Rubiaceae,Timonius arboreus Elmer,貝木,"台東縣 (Taitung county), 蘭嶼鄉 (Lanyu township), 天池 (Tienchih, a pond)",flowering,,,,31 Mar. 2020,"趙建棣 (C. T. Chao) accompanied with 江暐凡 (W. F. Chiang), 黃俊曄 (C. Y. Huang), 周柏安 (P. A. Chou)",,
5079,Celastraceae,Microtropis japonica (Franch. & Sav.) Hallier f.,日本賽衛矛,"台東縣 (Taitung county), 蘭嶼鄉 (Lanyu township), 天池 (Tienchih, a pond)",fruiting,,,,31 Mar. 2020,"趙建棣 (C. T. Chao) accompanied with 江暐凡 (W. F. Chiang), 黃俊曄 (C. Y. Huang), 周柏安 (P. A. Chou)",,
5080,Ophioglossaceae,Ophioglossum austroasiaticum M.Nishida,瓶爾小草,"台東縣 (Taitung county), 蘭嶼鄉 (Lanyu township), 天池 (Tienchih, a pond)",sporing,,,,31 Mar. 2020,"趙建棣 (C. T. Chao) accompanied with 江暐凡 (W. F. Chiang), 黃俊曄 (C. Y. Huang), 周柏安 (P. A. Chou)",,
5081,Lindsaeaceae,,,"台東縣 (Taitung county), 蘭嶼鄉 (Lanyu township), 天池 (Tienchih, a pond)",sporing,,,,31 Mar. 2020,"趙建棣 (C. T. Chao) accompanied with 江暐凡 (W. F. Chiang), 黃俊曄 (C. Y. Huang), 周柏安 (P. A. Chou)",,
5082,Clusiaceae,Calophyllum inophyllum L.,瓊崖海棠,"台東縣 (Taitung county), 蘭嶼鄉 (Lanyu township), 天池 (Tienchih, a pond)",flowering,,,,31 Mar. 2020,"趙建棣 (C. T. Chao) accompanied with 江暐凡 (W. F. Chiang), 黃俊曄 (C. Y. Huang), 周柏安 (P. A. Chou)",,
5083,Moraceae,Ficus pubinervis Blume,綠島榕,"台東縣 (Taitung county), 蘭嶼鄉 (Lanyu township), 天池 (Tienchih, a pond)",fruiting,,,,31 Mar. 2020,"趙建棣 (C. T. Chao) accompanied with 江暐凡 (W. F. Chiang), 黃俊曄 (C. Y. Huang), 周柏安 (P. A. Chou)",,
5084,Moraceae,Ficus heteropleura Blume,尖尾長葉榕,"台東縣 (Taitung county), 蘭嶼鄉 (Lanyu township), 天池 (Tienchih, a pond)",fruiting,,,,31 Mar. 2020,"趙建棣 (C. T. Chao) accompanied with 江暐凡 (W. F. Chiang), 黃俊曄 (C. Y. Huang), 周柏安 (P. A. Chou)",,
5085,Gesneriaceae,Cyrtandra umbellifera,雄胞囊草,"台東縣 (Taitung county), 蘭嶼鄉 (Lanyu township), 天池 (Tienchih, a pond)",flowering,,,,31 Mar. 2020,"趙建棣 (C. T. Chao) accompanied with 江暐凡 (W. F. Chiang), 黃俊曄 (C. Y. Huang), 周柏安 (P. A. Chou)",,
5086,Rubiaceae,Timonius arboreus Elmer,貝木,"台東縣 (Taitung county), 蘭嶼鄉 (Lanyu township), 天池 (Tienchih, a pond)",flowering,,,,31 Mar. 2020,"趙建棣 (C. T. Chao) accompanied with 江暐凡 (W. F. Chiang), 黃俊曄 (C. Y. Huang), 周柏安 (P. A. Chou)",,
