Coll. No.,Family,Scientific Name,Common Name,Locality and habitat description,Habit,GPSN,GPSE,Altitude,Date,Collector,Identifier,Note
3092,薔薇科 (Rosaceae),Spiraea blumei G.Don,繡球繡線菊,"金門縣 (Kinmen county), 金湖鄉 (Chinghu township), 蔡厝古道 (Tsaitsuo ancient trail)",,,,,28 Jul. 2013,"趙建棣 (C. T. Chao) accompanied with 趙東榆 (T. Y. Chao), 陳柏璋 (P. C. Chen), 鄭凱育 (K. Y. Cheng)",趙建棣 (C. T. Chao),
3094,葡萄科 (Vitaceae),Ampelopsis delavayana Planch. ex Franch.,三裂葉蛇葡萄,"金門縣 (Kinmen county), 金湖鄉 (Chinghu township), 蔡厝古道 (Tsaitsuo ancient trail)",,,,,28 Jul. 2013,"趙建棣 (C. T. Chao) accompanied with 趙東榆 (T. Y. Chao), 陳柏璋 (P. C. Chen), 鄭凱育 (K. Y. Cheng)",趙建棣 (C. T. Chao),
3095,毛茛科 (Ranunculaceae),Clematis chinensis Osbeck,威靈仙,"金門縣 (Kinmen county), 金湖鄉 (Chinghu township), 蔡厝古道 (Tsaitsuo ancient trail)",,,,,28 Jul. 2013,"趙建棣 (C. T. Chao) accompanied with 趙東榆 (T. Y. Chao), 陳柏璋 (P. C. Chen), 鄭凱育 (K. Y. Cheng)",趙建棣 (C. T. Chao),
3096,小二仙草科 (Holaragaceae),Haloragis chinensis (Lour.) Merr.,黃花小二仙草,"金門縣 (Kinmen county), 金湖鄉 (Chinghu township), 蔡厝古道 (Tsaitsuo ancient trail)",,,,,28 Jul. 2013,"趙建棣 (C. T. Chao) accompanied with 趙東榆 (T. Y. Chao), 陳柏璋 (P. C. Chen), 鄭凱育 (K. Y. Cheng)",趙建棣 (C. T. Chao),
3097,百合科 (Liliaceae s. l.),Thysanotus chinensis Benth.,異蕊草,"金門縣 (Kinmen county), 金湖鄉 (Chinghu township), 蔡厝古道 (Tsaitsuo ancient trail)",,,,,28 Jul. 2013,"趙建棣 (C. T. Chao) accompanied with 趙東榆 (T. Y. Chao), 陳柏璋 (P. C. Chen), 鄭凱育 (K. Y. Cheng)",趙建棣 (C. T. Chao),
3098,百合科 (Liliaceae s. l.),Thysanotus chinensis Benth.,異蕊草,"金門縣 (Kinmen county), 金湖鄉 (Chinghu township), 田埔 (Tienpu)",,,,,28 Jul. 2013,"趙建棣 (C. T. Chao) accompanied with 趙東榆 (T. Y. Chao), 陳柏璋 (P. C. Chen), 鄭凱育 (K. Y. Cheng)",趙建棣 (C. T. Chao),
3099,莎草科 (Cyperaceae),Fimbristylis polytrichoides (Retz.) Vahl,高雄飄拂草,"金門縣 (Kinmen county), 列嶼鄉 (Lieyu township), 青岐 (Chingchi)",,,,,29 Jul. 2013,"趙建棣 (C. T. Chao) accompanied with 趙東榆 (T. Y. Chao), 陳柏璋 (P. C. Chen), 鄭凱育 (K. Y. Cheng)",趙建棣 (C. T. Chao),
3100,百合科 (Liliaceae s. l.),Liriope spicata Lour.,麥門冬,"金門縣 (Kinmen county), 金湖鄉 (Chinghu township), 蔡厝古道 (Tsaitsuo ancient trail)",,,,,28 Jul. 2013,"趙建棣 (C. T. Chao) accompanied with 趙東榆 (T. Y. Chao), 陳柏璋 (P. C. Chen), 鄭凱育 (K. Y. Cheng)",趙建棣 (C. T. Chao),
3101,蘭科 (Orchidaceae),,,"南投縣 (Nantou county), 仁愛鄉 (Jenai township), 能高越嶺古道 (Nenggao Cross-ridge Historic trail)",,,,,6 Aug. 2013,趙建棣 (C. T. Chao) accompanied with 吳佾鴻 (Y. H. Wu) and 王建皓 (C. H. Wang),,
3102,鱗毛蕨科 (Dryopteridaceae),Polystichum pseudodeltodon Tagawa,對生耳蕨,"南投縣 (Nantou county), 仁愛鄉 (Jenai township), 能高越嶺古道 (Nenggao Cross-ridge Historic trail)",,,,,6 Aug. 2013,趙建棣 (C. T. Chao) accompanied with 吳佾鴻 (Y. H. Wu) and 王建皓 (C. H. Wang),,
3103,百合科 (Liliaceae s. l.),Tricyrtis ravenii C.I Peng & Tiang,高山油點草,"南投縣 (Nantou county), 仁愛鄉 (Jenai township), 能高越嶺古道 (Nenggao Cross-ridge Historic trail)",,,,,6 Aug. 2013,趙建棣 (C. T. Chao) accompanied with 吳佾鴻 (Y. H. Wu) and 王建皓 (C. H. Wang),,
3104,唇形科 (Labiatae),Melissa axillaris (Benth.) Bakh. f.,蜜蜂花,"南投縣 (Nantou county), 仁愛鄉 (Jenai township), 能高越嶺古道 (Nenggao Cross-ridge Historic trail)",,,,,6 Aug. 2013,趙建棣 (C. T. Chao) accompanied with 吳佾鴻 (Y. H. Wu) and 王建皓 (C. H. Wang),,
3105,菊科 (Compositae),Eupatorium chinense var. tozanense,塔山澤蘭,"南投縣 (Nantou county), 仁愛鄉 (Jenai township), 能高越嶺古道 (Nenggao Cross-ridge Historic trail)",,,,,6 Aug. 2013,趙建棣 (C. T. Chao) accompanied with 吳佾鴻 (Y. H. Wu) and 王建皓 (C. H. Wang),,
3106,茄科 (Solanaceae),Lycianthes lysimachioides (Wall.) Bitter,蔓茄,"南投縣 (Nantou county), 仁愛鄉 (Jenai township), 能高越嶺古道 (Nenggao Cross-ridge Historic trail)",,,,,6 Aug. 2013,趙建棣 (C. T. Chao) accompanied with 吳佾鴻 (Y. H. Wu) and 王建皓 (C. H. Wang),,
3107,莎草科 (Cyperaceae),Carex sp.,,"南投縣 (Nantou county), 仁愛鄉 (Jenai township), 能高越嶺古道 (Nenggao Cross-ridge Historic trail)",,,,,6 Aug. 2013,趙建棣 (C. T. Chao) accompanied with 吳佾鴻 (Y. H. Wu) and 王建皓 (C. H. Wang),,
3108,菊科 (Compositae),Artemisia indica Willd.,艾,"南投縣 (Nantou county), 仁愛鄉 (Jenai township), 能高越嶺古道 (Nenggao Cross-ridge Historic trail)",,,,,6 Aug. 2013,趙建棣 (C. T. Chao) accompanied with 吳佾鴻 (Y. H. Wu) and 王建皓 (C. H. Wang),,
3109,莎草科 (Cyperaceae),Carex sp.,,"南投縣 (Nantou county), 仁愛鄉 (Jenai township), 能高越嶺古道 (Nenggao Cross-ridge Historic trail)",,,,,6 Aug. 2013,趙建棣 (C. T. Chao) accompanied with 吳佾鴻 (Y. H. Wu) and 王建皓 (C. H. Wang),,
3110,遠志科 (Polygalaceae),Heterosamara tatarinowii (Regel) Paiva,小扁豆,"南投縣 (Nantou county), 仁愛鄉 (Jenai township), 能高越嶺古道 (Nenggao Cross-ridge Historic trail)",,,,,6 Aug. 2013,趙建棣 (C. T. Chao) accompanied with 吳佾鴻 (Y. H. Wu) and 王建皓 (C. H. Wang),,
3111,豆科 (Fabaceae),Dumasia villosa subsp. bicolor (Hayata) H.Ohashi & Tateishi,臺灣山黑扁豆,"南投縣 (Nantou county), 仁愛鄉 (Jenai township), 能高越嶺古道 (Nenggao Cross-ridge Historic trail)",,,,,6 Aug. 2013,趙建棣 (C. T. Chao) accompanied with 吳佾鴻 (Y. H. Wu) and 王建皓 (C. H. Wang),,
3112,菊科 (Compositae),Eupatorium shimadai Kitam.,島田氏澤蘭,"南投縣 (Nantou county), 仁愛鄉 (Jenai township), 能高越嶺古道 (Nenggao Cross-ridge Historic trail)",,,,,6 Aug. 2013,趙建棣 (C. T. Chao) accompanied with 吳佾鴻 (Y. H. Wu) and 王建皓 (C. H. Wang),,
3113,景天科 (Crassulaceae),Sedum sp.,,"南投縣 (Nantou county), 仁愛鄉 (Jenai township), 能高越嶺古道 (Nenggao Cross-ridge Historic trail)",,,,,6 Aug. 2013,趙建棣 (C. T. Chao) accompanied with 吳佾鴻 (Y. H. Wu) and 王建皓 (C. H. Wang),,
3114,鐵角蕨科 (Aspleniaceae),Asplenium capillipes Makino,姬鐵角蕨,"南投縣 (Nantou county), 仁愛鄉 (Jenai township), 能高越嶺古道 (Nenggao Cross-ridge Historic trail)",,,,,6 Aug. 2013,趙建棣 (C. T. Chao) accompanied with 吳佾鴻 (Y. H. Wu) and 王建皓 (C. H. Wang),,
3115,鳳尾蕨科 (Pteridaceae),Anogramma leptophylla (L.) Link,翠蕨,"南投縣 (Nantou county), 仁愛鄉 (Jenai township), 能高越嶺古道 (Nenggao Cross-ridge Historic trail)",,,,,6 Aug. 2013,趙建棣 (C. T. Chao) accompanied with 吳佾鴻 (Y. H. Wu) and 王建皓 (C. H. Wang),,
3116,鐵角蕨科 (Aspleniaceae),Asplenium yoshinagae Makino,斜葉鐵角蕨,"南投縣 (Nantou county), 仁愛鄉 (Jenai township), 能高越嶺古道 (Nenggao Cross-ridge Historic trail)",,,,,6 Aug. 2013,趙建棣 (C. T. Chao) accompanied with 吳佾鴻 (Y. H. Wu) and 王建皓 (C. H. Wang),,
3117,蓼科 (Polygonaceae),Persicaria pusumbu (Buch.-Ham. ex Don) H. Gross,花蓼,"南投縣 (Nantou county), 仁愛鄉 (Jenai township), 能高越嶺古道 (Nenggao Cross-ridge Historic trail)",,,,,6 Aug. 2013,趙建棣 (C. T. Chao) accompanied with 吳佾鴻 (Y. H. Wu) and 王建皓 (C. H. Wang),,
3118,水龍骨科 (Polypodiaceae),Goniophlebium mengtzeense (Christ) G.Roedl-Linder,擬水龍骨,"南投縣 (Nantou county), 仁愛鄉 (Jenai township), 能高越嶺古道 (Nenggao Cross-ridge Historic trail)",,,,,6 Aug. 2013,趙建棣 (C. T. Chao) accompanied with 吳佾鴻 (Y. H. Wu) and 王建皓 (C. H. Wang),,
3119,蕁麻科 (Urticaceae),Pilea swinglei Merr.,三角葉冷水麻,"南投縣 (Nantou county), 仁愛鄉 (Jenai township), 能高越嶺古道 (Nenggao Cross-ridge Historic trail)",,,,,6 Aug. 2013,趙建棣 (C. T. Chao) accompanied with 吳佾鴻 (Y. H. Wu) and 王建皓 (C. H. Wang),,
3120,禾本科 (Poaceae),,,"南投縣 (Nantou county), 仁愛鄉 (Jenai township), 能高越嶺古道 (Nenggao Cross-ridge Historic trail)",,,,,6 Aug. 2013,趙建棣 (C. T. Chao) accompanied with 吳佾鴻 (Y. H. Wu) and 王建皓 (C. H. Wang),,
3121,莎草科 (Cyperaceae),Carex sp.,,"南投縣 (Nantou county), 仁愛鄉 (Jenai township), 能高越嶺古道 (Nenggao Cross-ridge Historic trail)",,,,,6 Aug. 2013,趙建棣 (C. T. Chao) accompanied with 吳佾鴻 (Y. H. Wu) and 王建皓 (C. H. Wang),,
3122,莎草科 (Cyperaceae),Carex macrocrandrolepis,菱果薹,"南投縣 (Nantou county), 仁愛鄉 (Jenai township), 能高越嶺古道 (Nenggao Cross-ridge Historic trail)",,,,,6 Aug. 2013,趙建棣 (C. T. Chao) accompanied with 吳佾鴻 (Y. H. Wu) and 王建皓 (C. H. Wang),,
3123,水龍骨科 (Polypodiaceae),Lepisorus morrisonensis (Hayata) H.Itô,玉山瓦葦,"南投縣 (Nantou county), 仁愛鄉 (Jenai township), 能高越嶺古道 (Nenggao Cross-ridge Historic trail)",,,,,6 Aug. 2013,趙建棣 (C. T. Chao) accompanied with 吳佾鴻 (Y. H. Wu) and 王建皓 (C. H. Wang),,
3124,水龍骨科 (Polypodiaceae),Goniophlebium amoenum (Wall. ex Mett.) Bedd.,阿里山水龍骨,"南投縣 (Nantou county), 仁愛鄉 (Jenai township), 能高越嶺古道 (Nenggao Cross-ridge Historic trail)",,,,,6 Aug. 2013,趙建棣 (C. T. Chao) accompanied with 吳佾鴻 (Y. H. Wu) and 王建皓 (C. H. Wang),,
3125,鳳尾蕨科 (Pteridaceae),,,"南投縣 (Nantou county), 仁愛鄉 (Jenai township), 能高越嶺古道 (Nenggao Cross-ridge Historic trail)",,,,,6 Aug. 2013,趙建棣 (C. T. Chao) accompanied with 吳佾鴻 (Y. H. Wu) and 王建皓 (C. H. Wang),,
3126,蹄蓋蕨科 (Athyriaceae),,,"南投縣 (Nantou county), 仁愛鄉 (Jenai township), 能高越嶺古道 (Nenggao Cross-ridge Historic trail)",,,,,6 Aug. 2013,趙建棣 (C. T. Chao) accompanied with 吳佾鴻 (Y. H. Wu) and 王建皓 (C. H. Wang),,
3127,桔梗科 (Campanulaceae),Adenophora triphylla (Thunb.) A. DC.,輪葉沙蔘,"南投縣 (Nantou county), 仁愛鄉 (Jenai township), 能高越嶺古道 (Nenggao Cross-ridge Historic trail)",,,,,6 Aug. 2013,趙建棣 (C. T. Chao) accompanied with 吳佾鴻 (Y. H. Wu) and 王建皓 (C. H. Wang),,
3128,莎草科 (Cyperaceae),Carex sp.,,"南投縣 (Nantou county), 仁愛鄉 (Jenai township), 能高越嶺古道 (Nenggao Cross-ridge Historic trail)",,,,,6 Aug. 2013,趙建棣 (C. T. Chao) accompanied with 吳佾鴻 (Y. H. Wu) and 王建皓 (C. H. Wang),,
3129,蹄蓋蕨科 (Athyriaceae),,,"南投縣 (Nantou county), 仁愛鄉 (Jenai township), 能高越嶺古道 (Nenggao Cross-ridge Historic trail)",,,,,6 Aug. 2013,趙建棣 (C. T. Chao) accompanied with 吳佾鴻 (Y. H. Wu) and 王建皓 (C. H. Wang),,
3130,蹄蓋蕨科 (Athyriaceae),,,"南投縣 (Nantou county), 仁愛鄉 (Jenai township), 能高越嶺古道 (Nenggao Cross-ridge Historic trail)",,,,,6 Aug. 2013,趙建棣 (C. T. Chao) accompanied with 吳佾鴻 (Y. H. Wu) and 王建皓 (C. H. Wang),,
3131,羅蔓藤蕨科 (Lomariopsidaceae),,,"南投縣 (Nantou county), 仁愛鄉 (Jenai township), 能高越嶺古道 (Nenggao Cross-ridge Historic trail)",,,,,6 Aug. 2013,趙建棣 (C. T. Chao) accompanied with 吳佾鴻 (Y. H. Wu) and 王建皓 (C. H. Wang),,
3132,水龍骨科 (Polypodiaceae),Goniophlebium fieldingianum (Kunze ex Mett.) T.Moore,亞德氏水龍骨,"南投縣 (Nantou county), 仁愛鄉 (Jenai township), 能高越嶺古道 (Nenggao Cross-ridge Historic trail)",,,,,6 Aug. 2013,趙建棣 (C. T. Chao) accompanied with 吳佾鴻 (Y. H. Wu) and 王建皓 (C. H. Wang),,
3133,鐵角蕨科 (Aspleniaceae),Asplenium griffithianum Hook.,叢葉鐵角蕨,"南投縣 (Nantou county), 仁愛鄉 (Jenai township), 能高越嶺古道 (Nenggao Cross-ridge Historic trail)",,,,,6 Aug. 2013,趙建棣 (C. T. Chao) accompanied with 吳佾鴻 (Y. H. Wu) and 王建皓 (C. H. Wang),,
3134,鐵角蕨科 (Aspleniaceae),Asplenium wilfordii Mett.,威氏鐵角蕨,"南投縣 (Nantou county), 仁愛鄉 (Jenai township), 能高越嶺古道 (Nenggao Cross-ridge Historic trail)",,,,,6 Aug. 2013,趙建棣 (C. T. Chao) accompanied with 吳佾鴻 (Y. H. Wu) and 王建皓 (C. H. Wang),,
3135,鳳尾蕨科 (Pteridaceae),Woodsia polystichoides D.C.Eaton,岩蕨,"南投縣 (Nantou county), 仁愛鄉 (Jenai township), 能高越嶺古道 (Nenggao Cross-ridge Historic trail)",,,,,6 Aug. 2013,趙建棣 (C. T. Chao) accompanied with 吳佾鴻 (Y. H. Wu) and 王建皓 (C. H. Wang),,
3136,冬青科 (Aquifoliaceae),Ilex pedunculosa Miq.,刻脈冬青,"南投縣 (Nantou county), 仁愛鄉 (Jenai township), 能高越嶺古道 (Nenggao Cross-ridge Historic trail)",,,,,6 Aug. 2013,趙建棣 (C. T. Chao) accompanied with 吳佾鴻 (Y. H. Wu) and 王建皓 (C. H. Wang),,
3137,書帶蕨科 (Vittariaceae),Haplopteris taeniophylla (Copel.) E.H.Crane,廣葉書帶蕨,"南投縣 (Nantou county), 仁愛鄉 (Jenai township), 能高越嶺古道 (Nenggao Cross-ridge Historic trail)",,,,,6 Aug. 2013,趙建棣 (C. T. Chao) accompanied with 吳佾鴻 (Y. H. Wu) and 王建皓 (C. H. Wang),,
3138,百合科 (Liliaceae s. l.),Asparagus cochinchinensis (Lour.) Merr.,天門冬,"南投縣 (Nantou county), 仁愛鄉 (Jenai township), 能高越嶺古道 (Nenggao Cross-ridge Historic trail)",,,,,6 Aug. 2013,趙建棣 (C. T. Chao) accompanied with 吳佾鴻 (Y. H. Wu) and 王建皓 (C. H. Wang),,
3139,百合科 (Liliaceae s. l.),Ophiopogon intermedius D.Don,間型沿階草,"南投縣 (Nantou county), 仁愛鄉 (Jenai township), 能高越嶺古道 (Nenggao Cross-ridge Historic trail)",,,,,6 Aug. 2013,趙建棣 (C. T. Chao) accompanied with 吳佾鴻 (Y. H. Wu) and 王建皓 (C. H. Wang),,
3140,石竹科 (Caryophyllaceae),,,"南投縣 (Nantou county), 仁愛鄉 (Jenai township), 能高越嶺古道 (Nenggao Cross-ridge Historic trail)",,,,,6 Aug. 2013,趙建棣 (C. T. Chao) accompanied with 吳佾鴻 (Y. H. Wu) and 王建皓 (C. H. Wang),,
3141,莎草科 (Cyperaceae),Carex alopecuroides,川上氏薹,"南投縣 (Nantou county), 仁愛鄉 (Jenai township), 能高越嶺古道 (Nenggao Cross-ridge Historic trail)",,,,,6 Aug. 2013,趙建棣 (C. T. Chao) accompanied with 吳佾鴻 (Y. H. Wu) and 王建皓 (C. H. Wang),,
3142,百合科 (Liliaceae s. l.),Disporum sessile var. intermedium (H.Hara) Y.H.Tseng & C.T.Chao,南投寶鐸花,"南投縣 (Nantou county), 仁愛鄉 (Jenai township), 能高越嶺古道 (Nenggao Cross-ridge Historic trail)",,,,,6 Aug. 2013,趙建棣 (C. T. Chao) accompanied with 吳佾鴻 (Y. H. Wu) and 王建皓 (C. H. Wang),,
3143,龍膽科 (Gentianaceae),Gentiana davidii var. formosana (Hayata) T.N. Ho,臺灣龍膽,"南投縣 (Nantou county), 仁愛鄉 (Jenai township), 能高越嶺古道 (Nenggao Cross-ridge Historic trail)",,,,,6 Aug. 2013,趙建棣 (C. T. Chao) accompanied with 吳佾鴻 (Y. H. Wu) and 王建皓 (C. H. Wang),,
3144,莎草科 (Cyperaceae),Cyperus sp.,,"南投縣 (Nantou county), 仁愛鄉 (Jenai township), 能高越嶺古道 (Nenggao Cross-ridge Historic trail)",,,,,6 Aug. 2013,趙建棣 (C. T. Chao) accompanied with 吳佾鴻 (Y. H. Wu) and 王建皓 (C. H. Wang),,
3145,敗醬科 (Valerianaceae),Patrinia scabiosifolia Link,黃花龍芽草,"南投縣 (Nantou county), 仁愛鄉 (Jenai township), 能高越嶺古道 (Nenggao Cross-ridge Historic trail)",,,,,6 Aug. 2013,趙建棣 (C. T. Chao) accompanied with 吳佾鴻 (Y. H. Wu) and 王建皓 (C. H. Wang),,
3146,鳳尾蕨科 (Pteridaceae),,,"南投縣 (Nantou county), 仁愛鄉 (Jenai township), 能高越嶺古道 (Nenggao Cross-ridge Historic trail)",,,,,6 Aug. 2013,趙建棣 (C. T. Chao) accompanied with 吳佾鴻 (Y. H. Wu) and 王建皓 (C. H. Wang),,
3147,杜鵑花科 (Ericaceae),Gaultheria cumingiana S. Vidal,白珠樹,"南投縣 (Nantou county), 仁愛鄉 (Jenai township), 能高越嶺古道 (Nenggao Cross-ridge Historic trail)",,,,,6 Aug. 2013,趙建棣 (C. T. Chao) accompanied with 吳佾鴻 (Y. H. Wu) and 王建皓 (C. H. Wang),,
3148,碗蕨科 (Dennstaedtiaceae),,,"南投縣 (Nantou county), 仁愛鄉 (Jenai township), 能高越嶺古道 (Nenggao Cross-ridge Historic trail)",,,,,6 Aug. 2013,趙建棣 (C. T. Chao) accompanied with 吳佾鴻 (Y. H. Wu) and 王建皓 (C. H. Wang),,
3149,水龍骨科 (Polypodiaceae),Lemmaphyllum rostratum (Bedd.) Tagawa,長柄瓦葦,"南投縣 (Nantou county), 仁愛鄉 (Jenai township), 能高越嶺古道 (Nenggao Cross-ridge Historic trail)",,,,,6 Aug. 2013,趙建棣 (C. T. Chao) accompanied with 吳佾鴻 (Y. H. Wu) and 王建皓 (C. H. Wang),,
3150,蕁麻科 (Urticaceae),Pilea aquarum subsp. brevicornuta,短角冷水麻,"南投縣 (Nantou county), 仁愛鄉 (Jenai township), 能高越嶺古道 (Nenggao Cross-ridge Historic trail)",,,,,6 Aug. 2013,趙建棣 (C. T. Chao) accompanied with 吳佾鴻 (Y. H. Wu) and 王建皓 (C. H. Wang),,
3151,蹄蓋蕨科 (Athyriaceae),Athyrium puncticaule (Blume) T.Moore,密腺蹄蓋蕨,"南投縣 (Nantou county), 仁愛鄉 (Jenai township), 能高越嶺古道 (Nenggao Cross-ridge Historic trail)",,,,,6 Aug. 2013,趙建棣 (C. T. Chao) accompanied with 吳佾鴻 (Y. H. Wu) and 王建皓 (C. H. Wang),,
3152,菊科 (Compositae),,,"南投縣 (Nantou county), 仁愛鄉 (Jenai township), 能高越嶺古道 (Nenggao Cross-ridge Historic trail)",,,,,6 Aug. 2013,趙建棣 (C. T. Chao) accompanied with 吳佾鴻 (Y. H. Wu) and 王建皓 (C. H. Wang),,
3153,水龍骨科 (Polypodiaceae),Lepisorus morrisonensis (Hayata) H.Itô,玉山瓦葦,"南投縣 (Nantou county), 仁愛鄉 (Jenai township), 能高越嶺古道 (Nenggao Cross-ridge Historic trail)",,,,,6 Aug. 2013,趙建棣 (C. T. Chao) accompanied with 吳佾鴻 (Y. H. Wu) and 王建皓 (C. H. Wang),,
3154,蹄蓋蕨科 (Athyriaceae),Athyrium,,"南投縣 (Nantou county), 仁愛鄉 (Jenai township), 能高越嶺古道 (Nenggao Cross-ridge Historic trail)",,,,,6 Aug. 2013,趙建棣 (C. T. Chao) accompanied with 吳佾鴻 (Y. H. Wu) and 王建皓 (C. H. Wang),,
3155,蹄蓋蕨科 (Athyriaceae),Athyrium,,"南投縣 (Nantou county), 仁愛鄉 (Jenai township), 能高越嶺古道 (Nenggao Cross-ridge Historic trail)",,,,,6 Aug. 2013,趙建棣 (C. T. Chao) accompanied with 吳佾鴻 (Y. H. Wu) and 王建皓 (C. H. Wang),,
3156,蹄蓋蕨科 (Athyriaceae),Athyrium oppositipennum Hayata,對生蹄蓋蕨,"南投縣 (Nantou county), 仁愛鄉 (Jenai township), 能高越嶺古道 (Nenggao Cross-ridge Historic trail)",,,,,6 Aug. 2013,趙建棣 (C. T. Chao) accompanied with 吳佾鴻 (Y. H. Wu) and 王建皓 (C. H. Wang),,
3157,,,,"南投縣 (Nantou county), 仁愛鄉 (Jenai township), 能高越嶺古道 (Nenggao Cross-ridge Historic trail)",,,,,6 Aug. 2013,趙建棣 (C. T. Chao) accompanied with 吳佾鴻 (Y. H. Wu) and 王建皓 (C. H. Wang),,
3158,繖形科 (Umbelliferae),Pimpinella niitakayamensis Hayata,玉山茴芹,"南投縣 (Nantou county), 仁愛鄉 (Jenai township), 能高越嶺古道 (Nenggao Cross-ridge Historic trail)",,,,,6 Aug. 2013,趙建棣 (C. T. Chao) accompanied with 吳佾鴻 (Y. H. Wu) and 王建皓 (C. H. Wang),,
3159,菊科 (Compositae),Erigeron morrisonensis Hayata,玉山飛蓬,"南投縣 (Nantou county), 仁愛鄉 (Jenai township), 能高越嶺古道 (Nenggao Cross-ridge Historic trail)",,,,,6 Aug. 2013,趙建棣 (C. T. Chao) accompanied with 吳佾鴻 (Y. H. Wu) and 王建皓 (C. H. Wang),,
3160,菊科 (Compositae),Cirsium,,"南投縣 (Nantou county), 仁愛鄉 (Jenai township), 能高越嶺古道 (Nenggao Cross-ridge Historic trail)",,,,,6 Aug. 2013,趙建棣 (C. T. Chao) accompanied with 吳佾鴻 (Y. H. Wu) and 王建皓 (C. H. Wang),,
3161,豆科 (Fabaceae),Astragalus nokoensis Sasaki,能高大山紫雲英,"南投縣 (Nantou county), 仁愛鄉 (Jenai township), 能高越嶺古道 (Nenggao Cross-ridge Historic trail)",,,,,6 Aug. 2013,趙建棣 (C. T. Chao) accompanied with 吳佾鴻 (Y. H. Wu) and 王建皓 (C. H. Wang),,
3162,菊科 (Compositae),Carpesium nepalense Less.,黃金珠,"南投縣 (Nantou county), 仁愛鄉 (Jenai township), 能高越嶺古道 (Nenggao Cross-ridge Historic trail)",,,,,6 Aug. 2013,趙建棣 (C. T. Chao) accompanied with 吳佾鴻 (Y. H. Wu) and 王建皓 (C. H. Wang),,
3163,莎草科 (Cyperaceae),Carex sp.,,"南投縣 (Nantou county), 仁愛鄉 (Jenai township), 能高越嶺古道 (Nenggao Cross-ridge Historic trail)",,,,,6 Aug. 2013,趙建棣 (C. T. Chao) accompanied with 吳佾鴻 (Y. H. Wu) and 王建皓 (C. H. Wang),,
3164,唇形科 (Labiatae),Salvia formosana (Murata) T.Yamaz.,臺灣紫花鼠尾草,"南投縣 (Nantou county), 仁愛鄉 (Jenai township), 能高越嶺古道 (Nenggao Cross-ridge Historic trail)",,,,,6 Aug. 2013,趙建棣 (C. T. Chao) accompanied with 吳佾鴻 (Y. H. Wu) and 王建皓 (C. H. Wang),,
3165,菝葜科 (Smilacaceae),Smilax vaginata Decne.,玉山菝葜,"南投縣 (Nantou county), 仁愛鄉 (Jenai township), 能高越嶺古道 (Nenggao Cross-ridge Historic trail)",,,,,6 Aug. 2013,趙建棣 (C. T. Chao) accompanied with 吳佾鴻 (Y. H. Wu) and 王建皓 (C. H. Wang),,
3166,百合科 (Liliaceae s. l.),Ophiopogon intermedius D.Don,間型沿階草,"南投縣 (Nantou county), 仁愛鄉 (Jenai township), 能高越嶺古道 (Nenggao Cross-ridge Historic trail)",,,,,6 Aug. 2013,趙建棣 (C. T. Chao) accompanied with 吳佾鴻 (Y. H. Wu) and 王建皓 (C. H. Wang),,
3167,蹄蓋蕨科 (Athyriaceae),Athyrium atkinsonii Bedd.,亞德氏蹄蓋蕨,"南投縣 (Nantou county), 仁愛鄉 (Jenai township), 能高越嶺古道 (Nenggao Cross-ridge Historic trail)",,,,,6 Aug. 2013,趙建棣 (C. T. Chao) accompanied with 吳佾鴻 (Y. H. Wu) and 王建皓 (C. H. Wang),,
3168,鱗毛蕨科 (Dryopteridaceae),Dryopteris,,"南投縣 (Nantou county), 仁愛鄉 (Jenai township), 能高越嶺古道 (Nenggao Cross-ridge Historic trail)",,,,,6 Aug. 2013,趙建棣 (C. T. Chao) accompanied with 吳佾鴻 (Y. H. Wu) and 王建皓 (C. H. Wang),,
3169,繖形科 (Umbelliferae),Torilis japonica (Houtt.) DC.,竊衣,"南投縣 (Nantou county), 仁愛鄉 (Jenai township), 能高越嶺古道 (Nenggao Cross-ridge Historic trail)",,,,,6 Aug. 2013,趙建棣 (C. T. Chao) accompanied with 吳佾鴻 (Y. H. Wu) and 王建皓 (C. H. Wang),,
3170,菊科 (Compositae),Nemosenecio formosanus (Kitam.) B. Nord.,臺灣劉寄奴,"南投縣 (Nantou county), 仁愛鄉 (Jenai township), 能高越嶺古道 (Nenggao Cross-ridge Historic trail)",,,,,6 Aug. 2013,趙建棣 (C. T. Chao) accompanied with 吳佾鴻 (Y. H. Wu) and 王建皓 (C. H. Wang),,
3171,毛茛科 (Ranunculaceae),Thalictrum,,"南投縣 (Nantou county), 仁愛鄉 (Jenai township), 能高越嶺古道 (Nenggao Cross-ridge Historic trail)",,,,,6 Aug. 2013,趙建棣 (C. T. Chao) accompanied with 吳佾鴻 (Y. H. Wu) and 王建皓 (C. H. Wang),,
3172,蹄蓋蕨科 (Athyriaceae),Deparia jiulungensis (Ching) Z.R.Wang,亞蹄蓋蕨,"南投縣 (Nantou county), 仁愛鄉 (Jenai township), 能高越嶺古道 (Nenggao Cross-ridge Historic trail)",,,,,6 Aug. 2013,趙建棣 (C. T. Chao) accompanied with 吳佾鴻 (Y. H. Wu) and 王建皓 (C. H. Wang),,
