採集人
JoonHyung Jung 贈
何岱臻 (T. J. He) 贈
何郁庭 (Y. T. Ho) 贈
同5331
吳慱昕 (T. H. Wu) 贈
常睿澤 (R. T. Chang) 贈
平野日向贈
張之毅 (C. I Chang) 贈
張正 (C. Chang) 老師贈
戴緯昱 (W. Y Tai) 贈
曾勝華 (S. H. Tseng) 贈
林元千 (Y. C. Lin) 贈
林嘉言 (C. Y. Lin) 贈
林岳翰 (Y. H. Lin) 贈
林翰羽 (H. Y. Lin) 贈
柯重亦 (C. Y. Ko) 贈
湯冠臻 (K. C. Tang) 贈
王偉 (W. Wang) 贈
王建皓 (C. H. Wang) 贈
王秋美 (C. M. Wang) 贈
"趙建棣 (C. T. CHao) accompanied with 林元千 (Y. C. Lin), 張之毅 (C. Y. Chang)"
"趙建棣 (C. T. CHao) accompanied with 林元千 (Y. C. Lin), 戴緯昱 (W. Y.Tai), 張之毅 (C. Y. Chang), 留家豪 (C. H. Liu)"
趙建棣 (C. T. Chao accompanied with 李佳賢 (C. H. Lee)
趙建棣 (C. T. Chao)
趙建棣 (C. T. Chao) accompanied with Joonhyung Jung
趙建棣 (C. T. Chao) accompanied with 何郁庭 (Y. T. He)
"趙建棣 (C. T. Chao) accompanied with 何郁庭 (Y. T. He), 倪立晏 (L. Y. Ni)"
"趙建棣 (C. T. Chao) accompanied with 何郁庭 (Y. T. He), 王作璿 (T. S. Wang), 林嘉言 (C. Y. Lin), 趙東榆 (T. Y. Chao)"
趙建棣 (C. T. Chao) accompanied with 倪立晏 (L. Y. Ni)
"趙建棣 (C. T. Chao) accompanied with 倪立晏 (L. Y. Ni), 張佳華 (C. H. Chang)"
"趙建棣 (C. T. Chao) accompanied with 倪立晏 (L. Y. Ni), 黃國修 (K. H. Huang)"
趙建棣 (C. T. Chao) accompanied with 吳佾鴻 (Y. H. Wu) and 王建皓 (C. H. Wang)
"趙建棣 (C. T. Chao) accompanied with 吳佾鴻 (Y. H. Wu), 陳欣一 (S. I Chen), 林元千 (Y. C. Lin), 王建皓 (C. H. Wang), 戴緯昱 (W. Y. Tai), 何郁庭 (Y. T. He)"
趙建棣 (C. T. Chao) accompanied with 吳慱昕 (T. H. Wu)
"趙建棣 (C. T. Chao) accompanied with 呂克勤 (K. C. Lu), 安柏翰 (B. H. An), 戴錦淑 (J. S. Tai)"
"趙建棣 (C. T. Chao) accompanied with 呂碧鳳 (P. F. Lu), 常睿澤 (R. T. Chang), 倪立晏 (L. Y. Ni)"
"趙建棣 (C. T. Chao) accompanied with 呂碧鳳 (P. F. Lu), 林元千 (Y. C. Lin)"
"趙建棣 (C. T. Chao) accompanied with 呂碧鳳 (P. F. Lu), 林元千 (Y. C. Lin), 常睿澤 (R. T. Chang), 詹政佑 (Z. Y. Zhan)"
"趙建棣 (C. T. Chao) accompanied with 呂碧鳳 (P. F. Lu), 留嘉豪 (C. H. Liu), 薛兆祥 (J. H. Hsue)"
"趙建棣 (C. T. Chao) accompanied with 孫英玄 (Y. H. Sun), 戴緯昱 (W. Y. Tai)"
趙建棣 (C. T. Chao) accompanied with 常睿澤 (R. T. Chang)
"趙建棣 (C. T. Chao) accompanied with 常睿澤 (R. T. Chang), 孫沛瑋 (P. W. Sun)"
"趙建棣 (C. T. Chao) accompanied with 常睿澤 (R. T. Chang), 羅敏心 (M. X. Luo)"
"趙建棣 (C. T. Chao) accompanied with 常睿澤 (R. T. Chang), 羅敏心 (M. X. Luo), 簡瑜靚 (Y. C. Chien)"
趙建棣 (C. T. Chao) accompanied with 張之毅 (C. I Chang)
"趙建棣 (C. T. Chao) accompanied with 張之毅 (C. I Chang), 何郁庭 (Y. T. He)"
"趙建棣 (C. T. Chao) accompanied with 張之毅 (C. I Chang), 何郁庭 (Y. T. He), 李子群 (T. C. Li)"
"趙建棣 (C. T. Chao) accompanied with 張之毅 (C. I Chang), 周柏安 (P. A. Chou)"
"趙建棣 (C. T. Chao) accompanied with 張之毅 (C. I Chang), 林嘉言 (C. Y. Lin), 謝侑廷 (Y. T. Hsieh), 李子群 (T. C. Li), 楊恩奇 (E. C. Yang)"
"趙建棣 (C. T. Chao) accompanied with 張之毅 (C. I Chang), 留嘉豪 (C. H. Liu)"
"趙建棣 (C. T. Chao) accompanied with 張之毅 (C. I Chang), 留嘉豪 (C. H. Liu), 王作璿 (T. H. Wang), 黃郁嵐 (Y. L. Huang)"
"趙建棣 (C. T. Chao) accompanied with 張之毅 (C. I Chang), 謝侑廷 (Y. T. Hsieh), 何郁庭 (Y. T. He)"
"趙建棣 (C. T. Chao) accompanied with 張之毅 (C. I Chang), 陳勁凱 (C. K. Chen)"
"趙建棣 (C. T. Chao) accompanied with 張之毅 (C. I Chang), 陳勁凱 (C. K. Chen), 何郁庭 (Y. T. He)"
趙建棣 (C. T. Chao) accompanied with 張之毅 (C. Y. Chang)
"趙建棣 (C. T. Chao) accompanied with 張之毅 (C. Y. Chang), 江暐凡 (W. F. Chiang), 黃俊曄 (C. Y. Huang)"
趙建棣 (C. T. Chao) accompanied with 張雅程 (Y. C. Chang)
"趙建棣 (C. T. Chao) accompanied with 徐歷鵬 (L. P. Hsu), 林元千 (Y. C. Lin)"
"趙建棣 (C. T. Chao) accompanied with 戴瑋昱 (W. Y. Tai), 張之毅 (C. I Chang), 曾勝華 (S. H. Tseng)"
"趙建棣 (C. T. Chao) accompanied with 戴緯昱 (W. Y. Tai), 張之毅 (C. I Chang), 留嘉豪 (C. H. Liu)"
"趙建棣 (C. T. Chao) accompanied with 戴緯昱 (W. Y. Tai), 陳勁凱 (C. K. Chen), 黃敏惠 (M. H. Huang)"
"趙建棣 (C. T. Chao) accompanied with 房浩 (H. Fang), 朱辰平 (C. P. Chu)"
"趙建棣 (C. T. Chao) accompanied with 曾喜育 (H. Y. Tzeng), 朱恩良 (E. L. Chu), 陳玟璇 (W. H. Chen)"
"趙建棣 (C. T. Chao) accompanied with 曾彥學 (Y. H. Tseng), 吳佾鴻 (Y. H. Wu)"
"趙建棣 (C. T. Chao) accompanied with 曾彥學 (Y. H. Tseng), 曾喜育 (H. Y. Tzeng), 吳佾鴻 (Y. H. Wu)"
"趙建棣 (C. T. Chao) accompanied with 曾彥學 (Y. H. Tseng), 林元千 (Y. C. Lin), 何郁庭 (Y. T. He)"
"趙建棣 (C. T. Chao) accompanied with 曾彥學 (Y. H. Tseng), 林元千 (Y. C. Lin), 張之毅 (C. I Chang)"
"趙建棣 (C. T. Chao) accompanied with 曾彥學 (Y. H. Tseng), 王秋美 (C. M. Wang), 吳佾鴻 (Y. H. Wu), 高雲東 (Y. T. Kao)"
"趙建棣 (C. T. Chao) accompanied with 曾彥學 (Y. H. Tseng), 王秋美 (C. M. Wang), 江佳穎 (C. Y. Jiang), 江鴻猷 (H. Y. Chiang), 林元千 (Y. C. Lin), 王建皓 (C. H. Wang), 戴緯昱 (W. Y. Tai)"
"趙建棣 (C. T. Chao) accompanied with 曾彥學 (Y. H. Tseng), 蔣慎司 (S. S. Chiang), 林元千 (Y. C. Lin), 周涵 (H. Chou)"
趙建棣 (C. T. Chao) accompanied with 李佳賢 (C. H. Li)
趙建棣 (C. T. Chao) accompanied with 李子群 (T. C. Li)
"趙建棣 (C. T. Chao) accompanied with 李子群 (T. C. Li), 林元千 (Y. C. Lin), 徐歷鵬 (L. P. Hsu)"
趙建棣 (C. T. Chao) accompanied with 李子群 (Z. C. Li)
趙建棣 (C. T. Chao) accompanied with 林元千 (Y. C. Lin)
"趙建棣 (C. T. Chao) accompanied with 林元千 (Y. C. Lin), 何郁庭 (Y. T. He), 林昌賢 (C. H. Lin), 謝侑廷 (Y. T. Hsieh), 李子群 (T. C. Li)"
"趙建棣 (C. T. Chao) accompanied with 林元千 (Y. C. Lin), 何郁庭 (Y. T. He), 謝侑廷 (Y. T. Hsieh)"
"趙建棣 (C. T. Chao) accompanied with 林元千 (Y. C. Lin), 呂欣蓓 (H. P. Lu)"
"趙建棣 (C. T. Chao) accompanied with 林元千 (Y. C. Lin), 周涵 (H. Chou), 薛兆祥 (C. T. Hsueh)"
"趙建棣 (C. T. Chao) accompanied with 林元千 (Y. C. Lin), 常睿澤 (R. T. Chang), 張之毅 (C. Y. Chang)"
"趙建棣 (C. T. Chao) accompanied with 林元千 (Y. C. Lin), 張之毅 (C. I Chang)"
"趙建棣 (C. T. Chao) accompanied with 林元千 (Y. C. Lin), 張之毅 (C. I Chang), 何郁庭 (Y. T. He)"
"趙建棣 (C. T. Chao) accompanied with 林元千 (Y. C. Lin), 張之毅 (C. I Chang), 留家豪 (C. H. Liu)"
"趙建棣 (C. T. Chao) accompanied with 林元千 (Y. C. Lin), 張之毅 (C. I Chang), 謝侑廷 (Y. T. Hsieh)"
"趙建棣 (C. T. Chao) accompanied with 林元千 (Y. C. Lin), 徐歷鵬 (L. P. Hsu)"
"趙建棣 (C. T. Chao) accompanied with 林元千 (Y. C. Lin), 徐歷鵬 (L. P. Hsu),  張雅程 (Y. C. Chang)"
"趙建棣 (C. T. Chao) accompanied with 林元千 (Y. C. Lin), 徐歷鵬 (L. P. Hsu), 何郁庭 (Y. T. He)"
"趙建棣 (C. T. Chao) accompanied with 林元千 (Y. C. Lin), 徐歷鵬 (L. P. Hsu), 呂碧鳳 (P. F. Lu), 何郁庭 (Y. T. He), 林昌賢 (C. H. Lin), 李子群 (T. C. Li)"
"趙建棣 (C. T. Chao) accompanied with 林元千 (Y. C. Lin), 徐歷鵬 (L. P. Hsu), 呂碧鳳 (P. F. Lu), 常睿澤 (R. T. Chang), 倪立晏 (L. Y. Ni)"
"趙建棣 (C. T. Chao) accompanied with 林元千 (Y. C. Lin), 徐歷鵬 (L. P. Hsu), 戴緯昱 (W. Y. Tai), 張之毅 (C. I Chang), 張雅程 (Y. C. Chang)"
"趙建棣 (C. T. Chao) accompanied with 林元千 (Y. C. Lin), 徐歷鵬 (L. P. Hsu), 李紹輔 (S. F. Li), 張之毅 (C. I Chang), 何郁庭 (Y. T. He)"
"趙建棣 (C. T. Chao) accompanied with 林元千 (Y. C. Lin), 徐歷鵬 (L. P. Hsu), 詹政佑 (Z. Y. Zhan), 徐頌剛 (S. K. Hsu)"
"趙建棣 (C. T. Chao) accompanied with 林元千 (Y. C. Lin), 江鴻猷 (H. Y. Chiang), 王建皓 (C. H. Wang), 戴緯昱 (W. Y. Tai)"
"趙建棣 (C. T. Chao) accompanied with 林元千 (Y. C. Lin), 留家豪 (C. H. Liu)"
"趙建棣 (C. T. Chao) accompanied with 林元千 (Y. C. Lin), 郭明裕 (M. Y. Kuo), 張之毅 (C. I Chang), 何郁庭 (Y. T. He)"
"趙建棣 (C. T. Chao) accompanied with 林寯魁 (C. K. Lin), 柯重亦 (C. I. Ko)"
趙建棣 (C. T. Chao) accompanied with 柯重亦 (C. I. Ko)
趙建棣 (C. T. Chao) accompanied with 楊恩奇 (E. C. Yang)
"趙建棣 (C. T. Chao) accompanied with 江佳穎 (C. Y Chiang), 蔡信邦 (H. P. Tsai), 曾勝華 (S. H. Tseng), 陳勁凱 (C. K. Chen)"
"趙建棣 (C. T. Chao) accompanied with 江佳穎 (J. Y Jiang), 張之毅 (C. I Chang), 留嘉豪 (C. H. Liu), 曾勝華 (S. H. Tseng)"
"趙建棣 (C. T. Chao) accompanied with 江暐凡 (W. F. Chiang), 黃俊曄 (C. Y. Huang), 周柏安 (P. A. Chou)"
趙建棣 (C. T. Chao) accompanied with 王建皓 (C. H. Wang)
